Customer ID,CY Customers,CY Orders,Order Date,Order ID,Postal Code,Product ID,PY Customers,PY Orders,Row ID,Segment,Ship Date,Ship Mode,CY Profit,CY Quantity,CY Sales,Discount,Order Date (Year),Profit,PY Profit,PY Quantity,PY Sales,Quantity,Sales
CG-12520,,,8/11/2022,CA-2022-152156,42420,FUR-BO-10001798,CG-12520,CA-2022-152156,1,Consumer,11/11/2022,Second Class,,,,0,2022,41.9136,$0K,$2,$0K,2,261.96
CG-12520,,,8/11/2022,CA-2022-152156,42420,FUR-CH-10000454,CG-12520,CA-2022-152156,2,Consumer,11/11/2022,Second Class,,,,0,2022,219.582,$0K,$3,$1K,3,731.94
DV-13045,,,12/6/2022,CA-2022-138688,90036,OFF-LA-10000240,DV-13045,CA-2022-138688,3,Corporate,16/6/2022,Second Class,,,,0,2022,6.8714,$0K,$2,$0K,2,14.62
SO-20335,,,11/10/2021,US-2021-108966,33311,FUR-TA-10000577,,,4,Consumer,18/10/2021,Standard Class,,,,0.45,2021,-383.031,,,,5,957.5775
SO-20335,,,11/10/2021,US-2021-108966,33311,OFF-ST-10000760,,,5,Consumer,18/10/2021,Standard Class,,,,0.2,2021,2.5164,,,,2,22.368
BH-11710,,,9/6/2020,CA-2020-115812,90032,FUR-FU-10001487,,,6,Consumer,14/6/2020,Standard Class,,,,0,2020,14.1694,,,,7,48.86
BH-11710,,,9/6/2020,CA-2020-115812,90032,OFF-AR-10002833,,,7,Consumer,14/6/2020,Standard Class,,,,0,2020,1.9656,,,,4,7.28
BH-11710,,,9/6/2020,CA-2020-115812,90032,TEC-PH-10002275,,,8,Consumer,14/6/2020,Standard Class,,,,0.2,2020,90.7152,,,,6,907.152
BH-11710,,,9/6/2020,CA-2020-115812,90032,OFF-BI-10003910,,,9,Consumer,14/6/2020,Standard Class,,,,0.2,2020,5.7825,,,,3,18.504
BH-11710,,,9/6/2020,CA-2020-115812,90032,OFF-AP-10002892,,,10,Consumer,14/6/2020,Standard Class,,,,0,2020,34.47,,,,5,114.9
BH-11710,,,9/6/2020,CA-2020-115812,90032,FUR-TA-10001539,,,11,Consumer,14/6/2020,Standard Class,,,,0.2,2020,85.3092,,,,9,1706.184
BH-11710,,,9/6/2020,CA-2020-115812,90032,TEC-PH-10002033,,,12,Consumer,14/6/2020,Standard Class,,,,0.2,2020,68.3568,,,,4,911.424
AA-10480,AA-10480,CA-2023-114412,15/4/2023,CA-2023-114412,28027,OFF-PA-10002365,,,13,Consumer,20/4/2023,Standard Class,$0K,$3,$0K,0.2,2023,5.4432,,,,3,15.552
IM-15070,,,5/12/2022,CA-2022-161389,98103,OFF-BI-10003656,IM-15070,CA-2022-161389,14,Consumer,10/12/2022,Standard Class,,,,0.2,2022,132.5922,$0K,$3,$0K,3,407.976
HP-14815,,,22/11/2021,US-2021-118983,76106,OFF-AP-10002311,,,15,Home Office,26/11/2021,Standard Class,,,,0.8,2021,-123.858,,,,5,68.81
HP-14815,,,22/11/2021,US-2021-118983,76106,OFF-BI-10000756,,,16,Home Office,26/11/2021,Standard Class,,,,0.8,2021,-3.816,,,,3,2.544
PK-19075,,,11/11/2020,CA-2020-105893,53711,OFF-ST-10004186,,,17,Consumer,18/11/2020,Standard Class,,,,0,2020,13.3176,,,,6,665.88
AG-10270,,,13/5/2020,CA-2020-167164,84084,OFF-ST-10000107,,,18,Consumer,15/5/2020,Second Class,,,,0,2020,9.99,,,,2,55.5
ZD-21925,,,27/8/2020,CA-2020-143336,94109,OFF-AR-10003056,,,19,Consumer,1/9/2020,Second Class,,,,0,2020,2.4824,,,,2,8.56
ZD-21925,,,27/8/2020,CA-2020-143336,94109,TEC-PH-10001949,,,20,Consumer,1/9/2020,Second Class,,,,0.2,2020,16.011,,,,3,213.48
ZD-21925,,,27/8/2020,CA-2020-143336,94109,OFF-BI-10002215,,,21,Consumer,1/9/2020,Second Class,,,,0.2,2020,7.384,,,,4,22.72
KB-16585,,,9/12/2022,CA-2022-137330,68025,OFF-AR-10000246,KB-16585,CA-2022-137330,22,Corporate,13/12/2022,Standard Class,,,,0,2022,5.0596,$0K,$7,$0K,7,19.46
